,Agents,ECBS,SASB-ECBS,DASB-ECBS,"BCBS(W,1)"
0,80,78720.15,58522.9,68368.94,85084
1,90,94402.47,72946.3,85262.41,131339
2,100,121075.12,94179.75,107217.9,181571
3,110,147887.34,123964.02,136382.62,259918
4,120,211231.26,170053.44,180892.15,nan
5,130,267082.62,205566.38,230631.41,nan
6,140,366491.17,303172.58,287049.87,nan
7,150,432757.2,392595.87,373056.32,nan
