agents,ECBS,SASB-ECBS,DASB-ECBS,"BCBS(W,1)"
80,3570.81,2941.55,3259.4,7711.01
90,4876.93,4077.13,4562.54,9296
100,6924.78,5904.06,6360.39,13248
110,9041.93,8501.08,8618.65,16705
120,13316.28,12073.68,11909.86,nan
130,18573.71,16246.77,16847.21,nan
140,27083.67,24553.35,22302.42,nan
150,34106.6,34017.72,31816.37,nan
