,agents,ECBS,SASB-ECBS,DASB-ECBS,"BCBS(W,1)"
0,120,322843.91,276066.24,262759.56,478843.91
1,130,479984.95,378462.36,406190.68,679984.95
2,140,604997.22,527103.70,560185.37,841997.22
3,150,830041.57,641429.02,718339.25,1031241.57
4,160,1015308.11,957918.27,852689.42,1245308.11
5,170,1299096.89,1238154.33,1197947.57,1599096.89
