,weights,ECBS,SASB-ECBS,DASB-ECBS,"BCBS(W,1)"
0,2.1,5754,7359,6170,14501
1,2.2,5971,13422,6982,19501
2,2.3,5960,10015,6244,25501
3,2.4,6323,12305,7236,30501
4,2.5,7207,10054,6261,29421
5,2.6,7342,9414,5997,28934
6,2.7,7181,11140,5702,28500
7,2.8,8170,11916,5945,26821
8,2.9,7979,10478,6253,31232
9,3.0,8630,10011,5993,32321
