,Weights,ECBS,SASB-ECBS,DASB-ECBS,"BCBS(W,1)"
0,2.10,1280698,1360508,1484805,1884123
1,2.20,1331924,1878332,1205907,2500123
2,2.30,1112548,1337692,825769,2944123
3,2.40,1126078,1804628,1275046,2984123
4,2.50,1160511,1536135,1473418,2964123
5,2.60,1216348,1867388,1082263,2854123
6,2.70,1261797,1631942,1434551,2824123
7,2.80,1291762,1526962,986493,2734123
8,2.90,1404408,1832120,1364663,3121113
9,3.00,1340199,1775062,1113589,3244123
