,Agents,ECBS,SASB-ECBS,DASB-ECBS,"BCBS(W,1)"
0,50,181599,184700,153947,481241
1,55,295684,231241,199313,623421
2,60,439338,410900,384196,1189821
3,65,597435,552796,441307,1631919
4,70,875019,1117210,628793,NaN
5,75,1054865,1257509,757557,NaN
6,80,1340199,1775062,1113589,NaN
